schnittstellenanpassungseinrichtung,f
finanzdienstleistungsunternehmen,n
lagereinstandsdurchschnittspreis,m
lebensversicherungsgesellschaft,f
durchschnitts-gemeinkostensatz,m
unterbrechungs-serviceprogramm,n
feuerversicherungsgesellschaft,f
durchschnitts-stundenverdienst,m
datenbeschreibungsverzeichnis,n
schwangerschaftsunterbrechung,f
rekombinationsgeschwindigkeit,f
buchstaben-ziffernumschaltung,f
durchschnittsgeschwindigkeit,f
systemkonfigurierungseinheit,f
versuchs-und-irrtums-methode,f
wahrscheinlichkeitsrechnung,f
von-unten-nach-oben-methode,f
kennsatz-querverweistabelle,f
bewegungs-zeit-untersuchung,f
schiedsgerichtsvereinbarung,f
sicherungs-dateiverzeichnis,n
kreditbeschaffungsprovision,f
unternehmenszusammenschluss,m
fehlermeldungsunterprogramm,n
durchschnittseinstandspreis,m
lochstreifen-schreibautomat,m
doppelstrom-strahltriebwerk,n
lehrlingsausbildungssystem,n
landwirtschaftsausstellung,f
selbstbehauptungs-training,n
datenverarbeitungspersonal,n
wiederausfuhrbescheinigung,f
parallel-serien-umschalter,m
blockmultiplexverarbeitung,f
rechnungsabrechnungsposten,m
bruttojahresarbeitsentgelt,n
zusammenstellungszeichnung,f
schreiblesegeschwindigkeit,f
geschwindigkeitsbegrenzung,f
merkmalswahrscheinlichkeit,f
seriell-parallel-umsetzung,f
adressenauswahleinrichtung,f
datenbankverwaltungssystem,n
programmentwicklungssystem,n
elektronenemissionsbereich,m
parallel-seriell-umsetzung,f
sukzessivlieferungsvertrag,m
materialanforderungsschein,m
dienstleistungsunternehmen,n
holzverarbeitungsindustrie,f
transzendentalphilosophie,f
luftfrachtransportgewerbe,n
adressenansteuerungsystem,n
wiederholungsaufforderung,f
ladungstransport-speicher,m
zahlenkombinationsschloss,n
kugelkoordinatenumrechner,m
kraftverkehrsversicherung,f
systemzustandsanzeigefeld,n
ersatzspurverkettungssatz,m
datenbeschreibungssprache,f
niedertemperaturkreislauf,m
gewinnschuldverschreibung,f
gegengewichtsgabelstapler,m
artikelstammkonvertierung,f
abteilungserfolgsrechnung,f
kennsatztabellen-ausdruck,m
abrechnungsprotokolldatei,f
hochtemperaturverbraucher,m
versicherungsgesellschaft,f
lohnsteuerjahresausgleich,m
anlagenbuchhaltungssystem,n
bytemultiplexverarbeitung,f
einzelschritt-fehlersuche,f
overhead-projektor-folie,f
abschreibungsstornierung,f
fernsprechauftragsdienst,m
beteiligungsgesellschaft,f
anwendungsprogrammierung,f
aussendienstorganisation,f
serien-parallel-umsetzer,m
schleifendurchlaufbefehl,m
tageslichtbild-projektor,m
luftverkehrsgesellschaft,f
arbeiterselbstverwaltung,f
schwingungsbeanspruchung,f
komplementiereinrichtung,f
selbstdurchschreibpapier,n
orderschuldverschreibung,f
versicherungsstatistiker,m
anlagenbuchhaltungsbeleg,m
mehr-pegel-unterbrechung,f
konstanthalteeinrichtung,f
datenbearbeitungssprache,f
initialisierungsprogramm,n
gesamtversicherungssumme,f
volltextbuchungsmaschine,f
betriebsratsvorsitzender,m
zuordnungsnummerntabelle,f
kontengruppenbezeichnung,f
zweiprogrammverarbeitung,f
bereitstellungsflugplatz,m
diskussionsveranstaltung,f
minderwertigkeitskomplex,m
arbeitslosenversicherung,f
